grxml | application/srgs+xml
nns | application/vnd.noblenet-sealer
nnw | application/vnd.noblenet-web
psb | application/vnd.3gpp.pic-bw-small
psd | image/vnd.adobe.photoshop
psf | application/x-font-linux-psf
book | application/vnd.framemaker
hbci | application/vnd.hbci
avi | video/x-msvideo
wad | application/x-doom
ssdl | application/ssdl+xml
ustar | application/x-ustar
avx | video/x-rad-screenplay
tcap | application/vnd.3gpp2.tcap
hdf | application/x-hdf
wav | audio/x-wav
ufdl | application/vnd.ufdl
wax | audio/x-ms-wax
xhtml | application/xhtml+xml
setreg | application/set-registration-initiation
npx | image/vnd.net-fpx
yang | application/yang
pub | application/x-mspublisher
setpay | application/set-payment-initiation
wbs | application/vnd.criticaltools.wbs+xml
axa | audio/annodex
midi | audio/midi
pvb | application/vnd.3gpp.pic-bw-var
axv | video/annodex
wcm | application/vnd.ms-works
lnk | application/x-ms-shortcut
dssc | application/dssc+der
wdb | application/vnd.ms-works
fbs | image/vnd.fastbidsheet
nsc | application/x-conference
nsf | application/vnd.lotus-notes
wdp | image/vnd.ms-photo
log | text/plain
pwn | application/vnd.3m.post-it-notes
sdkm | application/vnd.solent.sdkm+xml
azf | application/vnd.airzip.filesecure.azf
onetmp | application/onenote
fcs | application/vnd.isac.fcs
udeb | application/x-debian-package
azs | application/vnd.airzip.filesecure.azs
azw | application/vnd.amazon.ebook
sdkd | application/vnd.solent.sdkm+xml
yin | application/yin+xml
ntf | application/vnd.nitf
lostxml | application/lost+xml
fdf | application/vnd.fdf
jlt | application/vnd.hp-jlyt
chat | application/x-chat
pya | audio/vnd.ms-playready.media.pya
p7b | application/x-pkcs7-certificates
p7c | application/pkcs7-mime
p7m | application/pkcs7-mime
daf | application/vnd.mobius.daf
dae | model/vnd.collada+xml
p7r | application/x-pkcs7-certreqresp
pyv | video/vnd.ms-playready.media.pyv
p7s | application/pkcs7-signature
fg5 | application/vnd.fujitsu.oasysgp
scurl | text/vnd.curl.scurl
clkp | application/vnd.crick.clicker.palette
lrf | application/octet-stream
wgt | application/widget
lrm | application/vnd.ms-lrm
clkk | application/vnd.crick.clicker.keyboard
dtshd | audio/vnd.dts.hd
dbk | application/docbook+xml
fh5 | image/x-freehand
dd2 | application/vnd.oma.dd2+xml
fh4 | image/x-freehand
fh7 | image/x-freehand
clkx | application/vnd.crick.clicker
clkw | application/vnd.crick.clicker.wordbank
clkt | application/vnd.crick.clicker.template
blorb | application/x-blorb
fgd | application/x-director
acutc | application/vnd.acucorp
ssml | application/ssml+xml
ecelp9600 | audio/vnd.nuera.ecelp9600
dcr | application/x-director
pclxl | application/vnd.hp-pclxl
vxml | application/voicexml+xml
saf | application/vnd.yamaha.smaf-audio
jpe | image/jpeg
ltf | application/vnd.frogans.ltf
fhc | image/x-freehand
jpg | image/jpeg
ddd | application/vnd.fujixerox.ddd
jpm | video/jpm
wmlsc | application/vnd.wap.wmlscriptc
3dml | text/vnd.in3d.3dml
hlp | application/winhlp
jsonml | application/jsonml+json
ufd | application/vnd.ufdl
deb | application/x-debian-package
smzip | application/vnd.stepmania.package
3ds | image/x-3ds
def | text/plain
fig | application/x-xfig
mime | message/rfc822
susp | application/vnd.sus-calendar
der | application/x-x509-ca-cert
bat | application/x-msdownload
scd | application/x-msschedule
nzb | application/x-nzb
sbml | application/sbml+xml
scm | application/vnd.lotus-screencam
3g2 | video/3gpp2
wks | application/vnd.ms-works
scq | application/scvp-cv-request
ac | application/pkix-attr-cert
scs | application/scvp-cv-response
bcpio | application/x-bcpio
lvp | audio/vnd.lucent.voice
ai | application/postscript
sda | application/vnd.stardivision.draw
sdd | application/vnd.stardivision.impress
sdc | application/vnd.stardivision.calc
au | audio/basic
aw | application/applixware
ecelp7470 | audio/vnd.nuera.ecelp7470
jsf | text/plain
sdp | application/sdp
dgc | application/x-dgc-compressed
lwp | application/vnd.lotus-wordpro
sdw | application/vnd.stardivision.writer
sfd-hdstx | application/vnd.hydrostatix.sof-data
wma | audio/x-ms-wma
pptm | application/vnd.ms-powerpoint.presentation.macroenabled.12
wmd | application/x-ms-wmd
ppsx | application/vnd.openxmlformats-officedocument.presentationml.slideshow
wmf | application/x-msmetafile
see | application/vnd.seemail
wsdl | application/wsdl+xml
epub | application/epub+zip
wml | text/vnd.wap.wml
bz | application/x-bzip
3gp | video/3gpp
qam | application/vnd.epson.quickanime
cc | text/x-c
dotx | application/vnd.openxmlformats-officedocument.wordprocessingml.template
lasxml | application/vnd.las.las+xml
ser | application/java-serialized-object
wmv | video/x-ms-wmv
fli | video/x-fli
wmx | video/x-ms-wmx
bdf | application/x-font-bdf
wmz | application/x-msmetafile
flo | application/vnd.micrografx.flo
bdm | application/vnd.syncml.dm+wbxml
hps | application/vnd.hp-hps
dotm | application/vnd.ms-word.template.macroenabled.12
ppsm | application/vnd.ms-powerpoint.slideshow.macroenabled.12
flw | application/vnd.kde.kivio
flv | video/x-flv
cu | application/cu-seeme
fly | text/vnd.fly
ipfix | application/ipfix
flx | text/vnd.fmi.flexstor
dib | image/bmp
dic | text/x-c
qbo | application/vnd.intu.qbo
bed | application/vnd.realvnc.bed
sfs | application/vnd.spotfire.sfs
sfv | text/x-sfv
dir | application/x-director
dp | application/vnd.osgi.dp
latex | application/x-latex
hqx | application/mac-binhex40
dis | application/vnd.mobius.dis
dv | video/x-dv
sgi | image/sgi
sgm | text/sgml
sgl | application/vnd.stardivision.writer-global
fnc | application/vnd.frogans.fnc
gnumeric | application/x-gnumeric
lzh | application/x-lzh-compressed
mk3d | video/x-matroska
oa3 | application/vnd.fujitsu.oasys3
oa2 | application/vnd.fujitsu.oasys2
wpd | application/vnd.wordperfect
g3 | image/g3fax
bh2 | application/vnd.fujitsu.oasysprs
pptx | application/vnd.openxmlformats-officedocument.presentationml.presentation
shf | application/shf+xml
djv | image/vnd.djvu
wpl | application/vnd.ms-wpl
joda | application/vnd.joost.joda-archive
ez | application/andrew-inset
mxml | application/xv+xml
wps | application/vnd.ms-works
frame | application/vnd.framemaker
ulx | application/x-glulx
btif | image/prs.btif
ulw | audio/basic
fh | image/x-freehand
fm | application/vnd.framemaker
for | text/x-fortran
smil | application/smil+xml
wqd | application/vnd.wqd
jspf | text/plain
sid | image/x-mrsid-image
sig | application/pgp-signature
umj | application/vnd.umajin
omdoc | application/omdoc+xml
htc | text/x-component
sil | audio/silk
json | application/json
sis | application/vnd.symbian.install
class | application/java
sit | application/x-stuffit
htm | text/html
meta4 | application/metalink4+xml
oas | application/vnd.fujitsu.oasys
dll | application/x-msdownload
mrcx | application/marcxml+xml
fpx | image/vnd.fpx
gv | text/vnd.graphviz
wri | application/x-mswrite
obd | application/x-msbinder
wrl | model/vrml
gz | application/x-gzip
obj | application/x-tgif
dmg | application/x-apple-diskimage
hh | text/x-c
qfx | application/vnd.intu.qfx
bin | application/octet-stream
dmp | application/vnd.tcpdump.pcap
dms | application/octet-stream
portpkg | application/vnd.macports.portpkg
skd | application/vnd.koan
mads | application/mads+xml
skm | application/vnd.koan
texi | application/x-texinfo
dna | application/vnd.dna
hvd | application/vnd.yamaha.hv-dic
skp | application/vnd.koan
text | text/plain
skt | application/vnd.koan
unityweb | application/vnd.unity
hvp | application/vnd.yamaha.hv-voice
hvs | application/vnd.yamaha.hv-script
wtb | application/vnd.webturbo
in | text/plain
xvml | application/xv+xml
torrent | application/x-bittorrent
mathml | application/mathml+xml
rpst | application/vnd.nokia.radio-preset
rpss | application/vnd.nokia.radio-presets
odb | application/vnd.oasis.opendocument.database
oda | application/oda
odc | application/vnd.oasis.opendocument.chart
odf | application/vnd.oasis.opendocument.formula
odg | application/vnd.oasis.opendocument.graphics
odi | application/vnd.oasis.opendocument.image
fsc | application/vnd.fsc.weblaunch
ecelp4800 | audio/vnd.nuera.ecelp4800
doc | application/msword
odm | application/vnd.oasis.opendocument.text-master
odp | application/vnd.oasis.opendocument.presentation
slt | application/vnd.epson.salt
odt | application/vnd.oasis.opendocument.text
ods | application/vnd.oasis.opendocument.spreadsheet
fst | image/vnd.fst
dot | application/msword
mpega | audio/x-mpeg
chrt | application/vnd.kde.kchart
js | application/javascript
w3d | application/x-director
smf | application/vnd.stardivision.math
mac | image/x-macpaint
smi | application/smil+xml
efif | application/vnd.picsel
mag | application/vnd.ecowin.chart
ftc | application/vnd.fluxtime.clip
blb | application/x-blorb
dpg | application/vnd.dpgraph
fti | application/vnd.anser-web-funds-transfer-initiation
mc1 | application/vnd.medcalcdata
xenc | application/xenc+xml
man | text/troff
smv | video/x-smv
mar | application/octet-stream
snd | audio/basic
teicorpus | application/tei+xml
xhvml | application/xv+xml
snf | application/x-font-snf
vrml | model/vrml
uri | text/uri-list
mbk | application/vnd.mobius.mbk
wvx | video/x-ms-wvx
bmi | application/vnd.bmi
bmp | image/bmp
n3 | text/n3
oga | audio/ogg
wspolicy | application/wspolicy+xml
